Name,Phone,Email,All Emails,Address,Website,Category,Rating,Reviews,Priority,Score,Flags,Latitude,Longitude,Source Query
"Fairweather Holiday Homes Rental L.L.C","+971 52 152 5629","","","Dubai Creek Tower - 16th floor, office 16A - Deira - Dubai - United Arab Emirates","http://www.fairweatherholidayhomes.com/","Short term apartment rental agency",,,MEDIUM,55,"",,,"rental homes Deira Dubai"
"Grandeur Homes Real Estate Brokers LLC","+971 52 997 2146","","","Burjuman Business Tower - Office 944 - Al Mankhool - Dubai - United Arab Emirates","https://www.ghomesdxb.com/","Real estate agency",,5,MEDIUM,55,"",,,"real estate companies Burjuman Dubai"
"Dar Al Riffa Building","+971 4 339 2433","","","37 - 37 Khalid Bin Al Waleed Rd - Al Souq Al Kabeer - Al Fahidi - Dubai - United Arab Emirates","https://www.google.com/maps/search/?api=1&query=Dar%20Al%20Riffa%20Building&query_place_id=ChIJDfsTrxVDXz4Rq9z_Gcj73Ww","Commercial real estate agency",,3.9,LOW,40,"",,,"real estate companies Burjuman Dubai"
"Next Level Real Estate - Award Winning Real Estate Agency in Dubai","+971 4 454 2828","","","Opal Tower - 1505 - Burj Khalifa Blvd - Business Bay - Dubai - United Arab Emirates","https://www.nextlevelrealestate.ae/?utm_source=google&utm_medium=organic&utm_campaign=googlge_my_business","Real estate agency",,4.6,HIGH,70,"TARGET_LOCATION",,,"real estate companies Burjuman Dubai"
"Vihaan Real Estate Brokerage","+971 56 727 6363","","","M06 - Al Jawhara 2 Building, Khalid Bin Walid Road, Bur Dubai, Dubai, U.A.E, 7842+J2V17, located inside Al Jawhara 2 Building 1A St - Khalid Bin Al Waleed Rd - Al Mankhool - Dubai - United Arab Emirates","https://vrebuae.com/","Property investment company",,5,MEDIUM,55,"",,,"real estate companies Burjuman Dubai"
"SEKENKOUM REAL ESTATE L.L.C","+971 58 513 0111","","","API World Tower - Trade Center First - Dubai - United Arab Emirates","https://sekenkoum.com/","Real estate agent",,4.8,MEDIUM,55,"",,,"real estate companies Burjuman Dubai"
"RAMP REAL ESTATE L.L.C","+971 4 266 7529","","","next to Burjuman Mall - Al Mankhool - Dubai - United Arab Emirates","https://www.ramprealestate.ae/","Real estate agent",,5,MEDIUM,55,"",,,"real estate companies Burjuman Dubai"
"Blue Velvet Real Estate Brokerage","+971 58 598 6320","","","4th Floor A2, Gulf Towers Office No 404 A-015 Oud Metha, Burdubai - Dubai - United Arab Emirates","https://bluevelvet.ae/","Real estate agency",,4.9,MEDIUM,55,"",,,"real estate companies Burjuman Dubai"
"Emireum Properties | Real estate agency in dubai","+971 4 410 7429","","","Burj Khalifa District, The Opus By Omniyat - Suite A406 - Business Bay - Dubai - United Arab Emirates","https://www.emireumproperties.com/en","Real estate agent",,4.8,HIGH,70,"TARGET_LOCATION",,,"real estate companies Burjuman Dubai"
"OXXO Properties","+971 56 438 3822","","","Burjuman, Business Tower - 1702 - Sheikh Khalifa Bin Zayed St - Al Mankhool - Dubai - United Arab Emirates","http://www.oxxoproperties.com/","Real estate agency",,5,MEDIUM,55,"",,,"real estate companies Burjuman Dubai"
"Impressive Real Estate LLC","+971 50 746 5012","","","Office # 963, The Burjuman Business Tower - Al Mankhool - Dubai - United Arab Emirates","http://www.impressiverealestate.net/","Real estate agency",,4.9,MEDIUM,55,"",,,"real estate companies Burjuman Dubai"
"Select Group","+971 4 368 3355","","","Select Group Headquarters - Peninsula - Business Bay - Dubai - United Arab Emirates","http://www.select-group.ae/","Real estate developer",,4.4,HIGH,70,"TARGET_LOCATION",,,"real estate developer Deira Dubai"
"Casa Vista Development","+971 4 552 8160","","","Saaha A, Souk Al Bahar - Burj Khalifa - Dubai - United Arab Emirates","https://casavistadevelopment.com/","Real estate developer",,4.9,MEDIUM,55,"",,,"real estate developer Deira Dubai"
"Royal Jubilant Real Estate L.L.C","+971 52 494 2329","","","The Burjuman، Business Tower - Office # 2068 - level 20 Sheikh Khalifa Bin Zayed St - Al Mankhool - Al Hamriya - Dubai - United Arab Emirates","http://www.royaljubilant.ae/","Industrial real estate agency",,4.8,MEDIUM,55,"",,,"real estate companies Burjuman Dubai"
"Emaar Dubai Hills Estate - Sales Pavilion - Emaar","+971 800 36227","","","Hills Estate Sales Pavilion Emaar - Hadaeq Sheikh Mohammed Bin Rashid - Dubai - United Arab Emirates","https://www.emaar.com/en/our-communities/dubai-hills-estate?utm_source=google&utm_campaign=local_search&utm_medium=organic","Real estate developer",,4.5,MEDIUM,55,"",,,"real estate developer Deira Dubai"
"Auric Acres Real Estate Brokers, Dubai, UAE","+971 52 957 8280","","","M-17, Atrium Center, Bank Street - Dubai - United Arab Emirates","https://www.google.com/maps/search/?api=1&query=Auric%20Acres%20Real%20Estate%20Brokers%2C%20Dubai%2C%20UAE&query_place_id=ChIJjRp6cztDXz4R8bx7E-XQm38","Real estate consultant",,4.8,LOW,40,"",,,"real estate companies Burjuman Dubai"
"Empire Developments (Sales & Experience Center)","+971 800 700007","","","From Hotel’s lobby - Business Bay Park Regis - Maskan Ground Floor - Business Bay - Dubai - United Arab Emirates","https://empiredevelopments.ae/","Real estate developer",,4.6,HIGH,70,"TARGET_LOCATION",,,"real estate developer Deira Dubai"
"Sunrise Capital Real Estate Development","+971 4 262 5646","","","The Citadel Tower - Office No: 306 - Business Bay - Dubai - United Arab Emirates","https://sunrisedevelopers.com/","Real estate developer",,5,HIGH,70,"TARGET_LOCATION",,,"real estate developer Deira Dubai"
"Metropolitan Premium Properties","+971 58 648 8888","","","Office 1913, Al Manara Tower - Business Bay - Dubai - United Arab Emirates","https://metropolitan.realestate/?utm_source=gmb&utm_medium=organic&utm_content=listing&utm_campaign=mpp","Real estate agency",,4.7,HIGH,70,"TARGET_LOCATION",,,"real estate companies Burjuman Dubai"
"DAMAS REAL ESTATE DUBAI","+971 4 506 2000","","","DAMAS REAL ESTATE LLC 1ST FLOOR, JAWHARA JEWELLERS BUILDING, 28TH STREET, GOLD SOUK AL DAGHAYA, DEIRA, DUBAI TEL: +971 45062000, FAX: +971 42567258 - Dubai - United Arab Emirates","http://www.damasrealestate.com/","Real estate developer",,2.8,MEDIUM,55,"",,,"real estate developer Deira Dubai"
"Dubai Oasis Real Estate","+971 4 224 8200","","","1503, Al Reem Tower, Al Maktoum Street, Deira - Dubai - United Arab Emirates","https://www.google.com/maps/search/?api=1&query=Dubai%20Oasis%20Real%20Estate&query_place_id=ChIJu7Qa381cXz4RcpIH6-6VCEM","Real estate",,5,LOW,40,"",,,"real estate developer Deira Dubai"
"Main Realty - Real Estate Developers","+971 4 879 1888","","","Sales Office 705 Park Heights Square Building 1 - Dubai Hills - Dubai - United Arab Emirates","https://mainrealty.com/","Real estate developer",,4.8,MEDIUM,55,"",,,"real estate developer Deira Dubai"
"Dar Al Aman 2","+971 4 223 2041","","","Dar Al Aman 2, Al Muteena - Deira - Dubai - United Arab Emirates","https://www.google.com/maps/search/?api=1&query=Dar%20Al%20Aman%202&query_place_id=ChIJM0OFerNdXz4RiDghPFSndHY","Real estate developer",,4.4,LOW,40,"",,,"real estate developer Deira Dubai"
"Sapphire Sands - Real Estate Company in Dubai - Commercial Real Estate in Dubai - Property Developers in Dubai","+971 50 910 6015","","","5th Floor, Clover Bay Tower - Office 508 - Marasi Dr - Business Bay - Dubai - United Arab Emirates","https://sapphiresands.ae/","Real estate developer",,5,HIGH,70,"TARGET_LOCATION",,,"real estate developer Deira Dubai"
"Al Zarooni Real Estate","+971 4 294 2121","","","Al Muraqqabat Rd - Al Muraqqabat - Deira - Dubai - United Arab Emirates","http://www.alzaroonirealestate.com/","Real estate developer",,2.9,MEDIUM,55,"",,,"real estate developer Deira Dubai"
"Imtiaz Developments","+971 800 468429","","","Park Heights Square - Suite-204, Level-2, Building-01 - Dubai Hills - Dubai - United Arab Emirates","https://imtiaz.ae/?utm_source=Organic_Search&utm_medium=gmb","Real estate developer",,4.8,MEDIUM,55,"",,,"real estate developer Deira Dubai"
"Leader Real Estate","+971 4 266 6668","","","Salah Al Din St - Al Khabaisi - Deira - Dubai - United Arab Emirates","http://www.leadergroup.ae/","Real estate developer",,4.1,MEDIUM,55,"",,,"real estate developer Deira Dubai"
"Amer Al Ghurair Real Estate","+971 4 582 7389","","","Silicon Oasis The ICON @DSO Tower - 6th Floor - Dubai - United Arab Emirates","http://www.ameralghurair.com/","Real estate developer",,4.1,MEDIUM,55,"",,,"real estate developer Deira Dubai"
"Springfield Properties","+971 4 454 2588","","","Office 102, 103, 104, 105, 106, Building 02 - Business Bay - Bay Square - Dubai - United Arab Emirates","https://springfieldproperties.ae/","Real estate agency",,4.9,HIGH,70,"TARGET_LOCATION",,,"real estate companies Burjuman Dubai"
"Centurion Properties","+971 4 295 4322","","","Centurion Star - 604, Tower A - Deira - Port Saeed - Deira - Dubai - United Arab Emirates","https://www.centuriongroup.ae/","Real estate developer",,4.8,MEDIUM,55,"",,,"real estate developer Deira Dubai"
"NABNI Developments HQ","+971 4 256 6409","","","Business Avenue - 515 22B St - Port Saeed - Deira - Dubai - United Arab Emirates","https://www.nabnidevelopments.com/","Real estate developer",,3.8,MEDIUM,55,"",,,"real estate developer Deira Dubai"
"Khanzada Holiday homes Dubai","+971 56 121 0497","","","13 16th St - Al Muteena - Deira - Dubai - United Arab Emirates","https://www.google.com/maps/search/?api=1&query=Khanzada%20Holiday%20homes%20Dubai&query_place_id=ChIJgxhXLVddXz4Rj6s7u3RwG4I","Holiday apartment rental",,4.4,LOW,40,"",,,"rental homes Deira Dubai"
"JB Luxe Staycation For Vacation Homes Rental","+971 55 388 5378","","","Office 103-349 - Al Murar - Dubai - United Arab Emirates","http://www.jbluxedubai.com/","Short term apartment rental agency",,5,MEDIUM,55,"",,,"rental homes Deira Dubai"
"Emaar Sales Center - Downtown Dubai - Emaar","+971 800 36227","","","57RG+WX7 - Burj Khalifa - Dubai - United Arab Emirates","https://properties.emaar.com/en/?utm_source=Google&utm_medium=localsearch&utm_campaign=LocalSearch","Real estate developer",,4.4,MEDIUM,55,"",,,"real estate developer Deira Dubai"
"BLUE HOMES PROPERTIES LLC","+971 58 587 2987","","","Adidas Building - ffice No. 201-03 - Floor, R308 - Building 2nd St - Dubai - United Arab Emirates","https://bluehomes.ae/","Real estate agency",,4.4,MEDIUM,55,"",,,"rental homes Deira Dubai"
"MMT Stayz Vacation Homes Rental","+971 50 464 4587","","","36 22B St - Al Muraqqabat - Deira - Dubai - United Arab Emirates","https://www.facebook.com/mmtstayzrentals/?show_switched_toast=0&show_invite_to_follow=0&show_switched_tooltip=0&show_podcast_settings=0&show_community_review_changes=0&show_community_rollback=0&show_follower_visibility_disclosure=0","Holiday apartment rental",,4.2,MEDIUM,55,"",,,"rental homes Deira Dubai"
"Kabayan Cloud Rooms","+971 52 539 2160","","","Al Muraqqabat - Al Rigga - Dubai - United Arab Emirates","http://www.kabayanrooms.com/","Apartment rental agency",,5,MEDIUM,55,"",,,"rental homes Deira Dubai"
"Bed Space in Dubai","+971 50 786 5341","","","Near Al Rigga metro Station Deira, Dubai Al Murjneet Al Khaleej Building Opp. Al Hayat Place Apt#204, 2nd floor - Dubai - United Arab Emirates","https://findproperties.ae/for-sharing/apartments/dubai","Cabin rental agency",,3.8,MEDIUM,55,"",,,"rental homes Deira Dubai"
"Dubai Rent Properties","+971 50 450 3152","","","Al Fahad Building - Al Rigga Rd - Dubai - United Arab Emirates","https://www.google.com/maps/search/?api=1&query=Dubai%20Rent%20Properties&query_place_id=ChIJdxZBru9dXz4RFOi1h0_TuHQ","Real estate rental agency",,5,LOW,40,"",,,"rental homes Deira Dubai"
"The 1hataman Apartments (Dubai)","+971 56 820 1423","","","Etjar Building - 94 5th St - Al Baraha - Deira - Dubai - United Arab Emirates","https://www.google.com/maps/search/?api=1&query=The%201hataman%20Apartments%20(Dubai)&query_place_id=ChIJ65SCt7JcXz4RLDw_Gnr3g_g","Holiday apartment rental",,4.3,LOW,40,"",,,"rental homes Deira Dubai"
"Global Booking Vacation Homes Rental LLC","+971 58 536 4466","","","785J+GQW - 29 Al Ittihad Rd - Port Saeed - Deira - Dubai - United Arab Emirates","http://www.globalbooking.ae/","Vacation home rental agency",,5,MEDIUM,55,"",,,"rental homes Deira Dubai"
"Tiger Properties Sales Center - Deira","+971 800 300300","","","Samaya Hotel - Ground Floor - Riggat Al Buteen - Dubai - United Arab Emirates","https://www.tigergroup.ae/","Real estate developer",,3.6,MEDIUM,55,"",,,"real estate developer Deira Dubai"
"Druvya Holiday Homes LLC","+971 58 248 4205","","","Rashid Building - Office No.302 - Deira - opposite Mark Inn Hotel - Naif - Deira - Dubai - United Arab Emirates","http://www.druvyahomes.com/","Holiday apartment rental",,4.7,MEDIUM,55,"",,,"rental homes Deira Dubai"
"Vacations Rental Dubai","+971 55 235 1781","","","8 25th St - Al Muraqqabat - Deira - Dubai - United Arab Emirates","https://www.vacationsrentaldubai.com/","Serviced accommodation",,4.9,MEDIUM,55,"",,,"rental homes Deira Dubai"
"Capital Stay Vacational Homes","+971 54 704 7913","","","Abdullah Kamber Business Center - M Floor - 202 Salah Al Din St - Hor Al Anz - Deira - Dubai - United Arab Emirates","https://www.capitalstayuae.com/","Holiday apartment rental",,4.4,MEDIUM,55,"",,,"rental homes Deira Dubai"
"Budgeted Vacation Homes Rental LLC","+971 50 610 3375","","","Building no 54, Al Rigga Area - 40C St - behind Deira Clocktower - Dubai - United Arab Emirates","https://www.google.com/maps/search/?api=1&query=Budgeted%20Vacation%20Homes%20Rental%20LLC&query_place_id=ChIJ-fTc61tdXz4RWL795rpD14E","Hotel",,4,LOW,40,"",,,"rental homes Deira Dubai"
"Safe Choice Real Estate","+971 55 471 2355","","","Sheraton Dubai Creek Hotel N°: 6 - Riggat Al Buteen - Dubai - United Arab Emirates","https://www.safechoice.ae/","Real estate agency",,5,MEDIUM,55,"",,,"realtors Al Rigga Dubai"
"MKM HOLIDAY HOMES RENTAL CO. L.L.C","+971 52 382 2494","","","AlBabtain Building - Port Saeed - Deira - Dubai - United Arab Emirates","https://www.google.com/maps/search/?api=1&query=MKM%20HOLIDAY%20HOMES%20RENTAL%20CO.%20L.L.C&query_place_id=ChIJyTs75uxdXz4Rg75XpVQmsYA","Holiday home",,5,LOW,40,"",,,"holiday homes Al Rigga Dubai"
"HighMark Horizon Real Estate LLC","+971 4 386 5358","","","Palazzo Versace Dubai - Al Jadaf - Jaddaf Waterfront - Dubai - United Arab Emirates","https://highmarkhorizon.com/","Real estate agent",,4.6,MEDIUM,55,"",,,"real estate companies Bur Dubai"
"Book 247 Holiday homes LLC","+971 4 591 8444","","","Al Maktoum Rd - Al Muraqqabat - Riggat Al Buteen - Dubai - United Arab Emirates","https://www.book247.ae/","Holiday apartment rental",,5,MEDIUM,55,"",,,"holiday homes Al Rigga Dubai"
"AWG Properties LLC","+971 56 546 1826","","","The Prism - 19th floor - Business Bay - Dubai - United Arab Emirates","http://www.awgdubai.com/","Real estate consultant",,4.7,HIGH,70,"TARGET_LOCATION",,,"property management companies Burjuman Dubai"
"BIN HAM PROPERTIES LLC","+971 4 295 7671","","","Port Saeed - Deira - Dubai - United Arab Emirates","https://binhamgroup.com/en/home/","Property management company",,5,MEDIUM,55,"",,,"property management Al Rigga Dubai"
"Marbella Holiday homes","+971 4 334 0300","","","First Exit Towards jaddaf Port - Al Khail Road - D - 68 الجداف - قناة دبي المائية - near Dubai Dry Docks - Dubai - United Arab Emirates","http://www.marbellaholidays.co/","Holiday home",,4,MEDIUM,55,"",,,"holiday homes Al Rigga Dubai"
"Kohinoor Real Estate LLC","+971 4 295 7104","","","BMI Building Bur Dubai, Bank Street - Suite # 101, 1st Floor - Khalid Bin Al Waleed Rd - Al Mankhool - Dubai - United Arab Emirates","https://kohinoorrealestate.ae/","Real estate consultant",,5,MEDIUM,55,"",,,"property management companies Burjuman Dubai"
"Driven Properties LLC - HQ","+971 4 429 7040","","","Emaar Square Building #3 - 1st Floor - Downtown Dubai - Dubai - United Arab Emirates","https://www.drivenproperties.com/","Real estate agency",,4.5,MEDIUM,55,"",,,"real estate companies Bur Dubai"
"Primo Capital Real Estate","+971 4 280 3528","","","Building 1, Office #103 - Business Bay - Bay Square - Dubai - United Arab Emirates","https://primocapital.ae/","Real estate agency",,4.8,HIGH,70,"TARGET_LOCATION",,,"real estate companies Bur Dubai"
"Grand Vision Real Estate LLC | Dubai Property Consultants | Dubai Real Estate Agency | خرید ملک در دبی","+971 50 133 5111","","","1903 The Tower Plaza Hotel - Sheikh Zayed Rd - Dubai - United Arab Emirates","https://grandvisionuae.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-website-link","Real estate consultant",,4.5,MEDIUM,55,"",,,"real estate companies Bur Dubai"
"Expert Homes Real Estate","+971 56 725 2381","","","Aspect Tower - 2104 - Business Bay - Dubai - United Arab Emirates","http://www.expert-homes.com/","Real estate agent",,4.7,HIGH,70,"TARGET_LOCATION",,,"real estate companies Bur Dubai"
"Dubai Real Estate Corporation HQ","+971 4 398 6666","","","114 Al Mankhool Rd - Al Raffa - Dubai - United Arab Emirates","https://www.wasl.ae/","Real estate agency",,4.6,MEDIUM,55,"",,,"real estate companies Bur Dubai"
"ENG NANNY VACATION HOMES RENTAL","+971 52 323 2745","","","777R+RPQ - Office 214 3A St - Al Souq Al Kabeer - Al Fahidi - Dubai - United Arab Emirates","https://englishnannyproperty.com/","Real estate agency",,5,MEDIUM,55,"",,,"rental properties Burjuman Dubai"
"Bandenia Homes Real Estate","+971 50 768 6695","","","Conrad, Business Tower - Office 1707 - 17th Floor - opposite to Dubai World Trade Centre - Trade Center First - Dubai - United Arab Emirates","http://www.bandeniahomes.com/","Real estate agent",,4.7,MEDIUM,55,"",,,"rental properties Burjuman Dubai"
"Al Wafi Real Estate Management","+971 4 224 3989","","","10 1 A St - Bank Street Khalid Bin Al Waleed Rd - Bur Dubai - Dubai - United Arab Emirates","https://www.alwafimanagement.com/","Real estate rental agency",,,MEDIUM,55,"",,,"rental properties Burjuman Dubai"
"prestige point properties","+971 52 558 6106","","","Sharafi Building - Office no 302, Makaya - near sharf DG Metro Station - Bur dubai - Dubai - United Arab Emirates","https://www.prestigepoint.ae/","Real estate agency",,5,MEDIUM,55,"",,,"rental properties Burjuman Dubai"
"Quickstay Holiday Homes Rental L.L.C","+971 50 283 8603","","","Al Khaleej Center - Al Mankhool Rd - Bur Dubai - Dubai - United Arab Emirates","https://quickstay.ae/","Vacation home rental agency",,4.1,MEDIUM,55,"",,,"rental properties Burjuman Dubai"
"GRAND LUXURY VACATION HOMES","+971 4 354 6398","","","Al Wasl Building (R421) - R364 Zaa'beel St - Al Karama - Dubai - United Arab Emirates","http://www.glvacationhomes.com/","Vacation home rental agency",,5,MEDIUM,55,"",,,"rental properties Burjuman Dubai"
"Truebleu Vacation Homes Rental","+971 52 302 9200","","","Conrad, HHHR Tower - Office R-5, Spider Business Center, 19th Floor - Sheikh Zayed Rd - Dubai - United Arab Emirates","http://www.truebleuhomes.com/","Property management company",,3.6,MEDIUM,55,"",,,"rental properties Burjuman Dubai"
"Imperial Homes Real Estate Brokers","+971 4 427 4076","","","The Metropolis Tower - Suite 1713 - Business Bay - Dubai - United Arab Emirates","http://www.imperialhomesdubai.com/","Real estate agency",,4.7,HIGH,70,"TARGET_LOCATION",,,"real estate companies Bur Dubai"
"SKD Real Estate Brokerage","+971 58 176 6736","","","Business Center - 106, Generation, 71 - Al Karama - Dubai - United Arab Emirates","https://www.skdrealestate.ae/","Real estate agent",,5,MEDIUM,55,"",,,"rental properties Burjuman Dubai"
"Rocky Real Estate Head Office","+971 4 353 2000","","","Bur Dubai Sheikha, Latifa Bin Hamdan Building - 1st Floor Al Fahidi St - Al Souq Al Kabeer - Al Fahidi - Dubai - United Arab Emirates","https://www.rockyrealestate.com/","Real estate agency",,1.7,MEDIUM,55,"",,,"rental properties Burjuman Dubai"
"Al wasel building apartment burjuman","+971 54 321 9958","","","9 11B St - Al Mankhool - Dubai - United Arab Emirates","https://www.google.com/maps/search/?api=1&query=Al%20wasel%20building%20apartment%20burjuman&query_place_id=ChIJh5CPqjZDXz4Rux5vXFLNTKw","Apartment building",,5,LOW,40,"",,,"rental properties Burjuman Dubai"
"BOOKYOURBNB VACATION HOMES RENTAL LLC","+971 55 119 5672","","","Saeed Tower 1 - Office no - 78 Sheikh Zayed Rd - Trade Center First - Dubai - United Arab Emirates","https://bookyourbnb.com/","Short term apartment rental agency",,,MEDIUM,55,"",,,"rental properties Burjuman Dubai"
"Al Fariq Properties L.L.C. | Buy, Sell and Rent a Property in Dubai | Real Estate Company in Dubai","+971 4 874 7892","","","Latifa Tower - Office No 2005 Sheikh Zayed Rd - Trade Center First - Dubai - United Arab Emirates","http://www.alfariqproperties.com/","Real estate consultant",,4.3,MEDIUM,55,"",,,"rental properties Burjuman Dubai"
"Sacred Lands Group | Real estate investment in India | Buy Property in India From Dubai","+971 52 365 2776","","","Convention Tower, Dubai World Trade Centre - Office No. 17,3rd Floor - Sheikh Zayed Rd - Trade Center Second - Trade Centre 2 - Dubai - United Arab Emirates","http://sacredlands.co/","Real estate consultant",,4.8,MEDIUM,55,"",,,"real estate companies Bur Dubai"
"Angel Real Estate","+971 50 506 9790","","","776X+GM6 - Musalla Tower, Bank Street, Bur Dubai - Dubai - United Arab Emirates","https://www.google.com/maps/search/?api=1&query=Angel%20Real%20Estate&query_place_id=ChIJn6qqajlDXz4RVbEF8uSlCq4","Real estate agency",,1.8,LOW,40,"",,,"rental properties Burjuman Dubai"
"Royalton Holiday Homes - Dubai","+971 55 594 1413","","","IDS BUILDING - Al Karama - Dubai - United Arab Emirates","http://royaltonholidayhomes.com/","Property management company",,4.5,MEDIUM,55,"",,,"rental properties Burjuman Dubai"
"Property Finders","+971 4 353 3229","","","Al Khaleej Center - Office 502 - Al Mankhool Rd - Bur Dubai - Dubai - United Arab Emirates","https://propertyfindersltd.co.uk/","Real estate agency",,5,MEDIUM,55,"",,,"rental properties Burjuman Dubai"
"LANDWELL PROPERTIES","+971 4 883 4767","","","Levels 5 One - 2nd St - Za'abeel - Za'abeel 1 - Dubai - United Arab Emirates","https://www.landwell.ae/","Property management company",,,MEDIUM,55,"",,,"rental properties Burjuman Dubai"
"Burjuman Residences Block B","+971 56 365 2945","","","15 28A St - Al Mankhool - Dubai - United Arab Emirates","https://www.google.com/maps/search/?api=1&query=Burjuman%20Residences%20Block%20B&query_place_id=ChIJSz7IpSVDXz4RYK7pNFg1e6Y","Apartment building",,4.5,LOW,40,"",,,"rental properties Burjuman Dubai"
"Preview Properties L.L.C.","+971 4 331 5799","","","L09, Burjuman, Business Tower - Office #927 - Sheikh Khalifa Bin Zayed St - Al Mankhool - Dubai - United Arab Emirates","https://www.google.com/maps/search/?api=1&query=Preview%20Properties%20L.L.C.&query_place_id=ChIJ-7TuolNDXz4RloVjsVIjO1E","Real estate agency",,1,LOW,40,"",,,"rental properties Burjuman Dubai"
"IVY Properties LLC","+971 56 541 0444","","","Conrad Business Tower, Floor 19, Office S9 - Dubai - United Arab Emirates","https://www.ivyproperties.ae/","Real estate agency",,5,MEDIUM,55,"",,,"rental properties Burjuman Dubai"
"DVR Luxury Living Real Estate & Vacation Homes","+971 52 525 1138","","","Office 1605, Blue Bay Tower - Marasi Dr - Business Bay - Dubai - United Arab Emirates","https://dvrgroup.ae/","Industrial real estate agency",,4.8,HIGH,70,"TARGET_LOCATION",,,"rental properties Burjuman Dubai"
"Re'One Properties","+971 4 552 4606","","","Office 601, Park Place Tower - Sheikh Zayed Rd - Trade Center First - Dubai - United Arab Emirates","https://www.re1.ae/","Real estate consultant",,4.8,MEDIUM,55,"",,,"rental properties Burjuman Dubai"
"Beytie.com Vacation Homes بيتي.كوم لتأجير بيوت العطلات","+971 56 551 7700","","","Al, Nastaran Tower - Office 403 - Jaddaf Waterfront - Dubai - United Arab Emirates","http://www.beytie.com/","Vacation home rental agency",,4.9,MEDIUM,55,"",,,"rental properties Burjuman Dubai"
"Direct Properties","+971 4 591 1822","","","68FH+MF9 Noor Al Safa Building, City Tower - Shop 03 - Al Jadaf - Dubai - United Arab Emirates","https://directproperties.ae/","Real estate agency",,4.9,MEDIUM,55,"",,,"rental properties Burjuman Dubai"
"Tribeca Real Estate LLC","+971 55 227 1845","","","Address Dubai Mall Office 406, Level M - Dubai - United Arab Emirates","http://www.tribecadubai.com/","Real estate agency",,4.8,MEDIUM,55,"",,,"real estate companies Bur Dubai"
"Seven Luxury Real Estate","+971 4 421 7770","","","Boulevard Plaza Tower 1 Office 2003 - Dubai - United Arab Emirates","https://sevenluxuryrealestate.com/home-2/","Real estate agent",,4.6,MEDIUM,55,"",,,"real estate companies Bur Dubai"
"HAUS 51 REAL ESTATE","+971 58 515 2888","","","Downtown, Boulevard Plaza Tower 1 - 2602 - Burj Khalifa - Dubai - United Arab Emirates","http://www.haus51.com/","Real estate agency",,5,MEDIUM,55,"",,,"real estate companies Bur Dubai"
"ZORRO HOMES REAL ESTATE BROKERS LLC","+971 4 288 4126","","","502A-21, GULF TOWERS, UMM HURAIR 2 - Oud Metha - Dubai - United Arab Emirates","https://www.google.com/maps/search/?api=1&query=ZORRO%20HOMES%20REAL%20ESTATE%20BROKERS%20LLC&query_place_id=ChIJCwLKSTRdXz4R4oq0ieqOQ04","Real estate agency",,5,LOW,40,"",,,"real estate companies Bur Dubai"
"Excel Properties | Top Real Estate Broker in Dubai since 2001","+971 4 336 4447","","","6 Sheikh Zayed Rd - Trade Center First - Dubai - United Arab Emirates","https://excelproperties.ae/","Real estate agent",,4.7,MEDIUM,55,"",,,"real estate companies Bur Dubai"
"Modern Real Estate LLC","+971 4 398 7337","","","Al Diyafah Street - Al Hudaiba - Dubai - United Arab Emirates","https://modernrealestate.ae/","Property management company",,3.8,MEDIUM,55,"",,,"rental properties Burjuman Dubai"
"Beautiful Houses Real Estate Broker LLC","+971 4 351 2225","","","Office # 401, Makaya Sharafi Building, Near york international Hotel, Khalid Bin Al Waleed Rd, Bur Dubai - Dubai - United Arab Emirates","https://www.google.com/maps/search/?api=1&query=Beautiful%20Houses%20Real%20Estate%20Broker%20LLC&query_place_id=ChIJKXShCDxDXz4RqeQya3UyqAI","Real estate agency",,5,LOW,40,"",,,"real estate companies Bur Dubai"
"MHM Real Estate","+971 4 451 8844","","","Office 106, Bldg. No 6 - Business Bay - Bay Square - Dubai - United Arab Emirates","http://www.mhmrealestate.com/","Real estate agency",,4.8,HIGH,70,"TARGET_LOCATION",,,"real estate companies Bur Dubai"
"Grace Realty Real Estate","+971 4 333 5135","","","Bur Dubai, Faisal Al Gurg Building - Office- M1-53, ABN Victor Business Centre LLC - Al Karama - Dubai - United Arab Emirates","https://www.gracerealtyrealestate.com/","Real estate agency",,5,MEDIUM,55,"",,,"real estate companies Bur Dubai"
"Manbu Facilities Management Services","+971 54 386 9725","","","28 Al Rigga Rd - Al Muraqqabat - Deira - Dubai - United Arab Emirates","https://manbumanagement.com/","Property management company",,5,MEDIUM,55,"",,,"property management Al Rigga Dubai"
"Real Choice Real Estate Brokers LLC","+971 4 358 8070","","","API World Tower - Office number 401 - Sheikh Zayed Rd - Trade Center First - Dubai - United Arab Emirates","https://www.realchoicedubai.com/","Real estate agency",,4.7,MEDIUM,55,"",,,"real estate companies Bur Dubai"
"White Wood Real Estate","+971 4 584 9661","","","Al Fahidi Heights - 1602 - Bur Dubai - Al Hamriya - Dubai - United Arab Emirates","https://whitewooddubai.com/","Real estate agency",,4.4,MEDIUM,55,"",,,"real estate companies Bur Dubai"
"To Let","+971 52 622 0403","","","building - Naif - Al Rigga - Dubai - United Arab Emirates","https://www.google.com/maps/search/?api=1&query=To%20Let&query_place_id=ChIJlRTaZ7lDXz4RC91utN0zb68","Property management company",,,LOW,40,"",,,"property management Al Rigga Dubai"
